0 0.99 0.01 0 0 0 0
0.1 0.987723 0.011948 0.0002 2e-005 0.000109 0
0.2 0.985028 0.0142695 0.00043894 4.3896e-005 0.00021974 0
0.3 0.981837 0.0170336 0.000724286 7.2435e-005 0.000332556 0
0.4 0.97806 0.0203211 0.00106488 0.000106502 0.000447846 0
0.5 0.973589 0.0242263 0.0014712 0.000147144 0.00056608 0
0.6 0.97302 0.0241408 0.00195558 0.000195597 0.000687812 0
0.7 0.9725 0.0241072 0.00243822 0.000256147 0.00069871 0
0.8 0.971934 0.0241212 0.00292016 0.00031707 0.000707495 0
0.9 0.971318 0.0241873 0.00340236 0.000378545 0.000713812 0
1 0.970646 0.0243105 0.00388586 0.000440775 0.000717238 0
1.1 0.96991 0.0244969 0.00437181 0.000503992 0.000717269 0
1.2 0.969104 0.0247497 0.00486149 0.000567564 0.000717556 0
1.3 0.968217 0.0250767 0.00535622 0.000631634 0.000718101 0
1.4 0.96724 0.0254868 0.00585748 0.00069636 0.000718928 0
1.5 0.96616 0.0259908 0.00636693 0.000761919 0.000720066 0
1.6 0.964962 0.0266014 0.00688646 0.000828507 0.000721545 0
1.7 0.963628 0.0273339 0.00741819 0.000896352 0.000723407 0
1.8 0.962137 0.0282067 0.00796457 0.00096571 0.000725699 0
1.9 0.960464 0.0292421 0.00852839 0.00103687 0.000728482 0
2 0.958578 0.030467 0.0091129 0.00111019 0.000731826 0
2.1 0.956442 0.0319146 0.0097219 0.00118604 0.000735819 0
2.2 0.954009 0.0336257 0.0103598 0.00126491 0.000740564 0
2.3 0.951224 0.0356507 0.011032 0.00134734 0.000746188 0
2.4 0.948016 0.0380526 0.0117446 0.00143398 0.000752847 0
2.5 0.944298 0.0409105 0.0125053 0.00152563 0.000760735 0
2.6 0.93996 0.0443241 0.013323 0.00162322 0.000770089 0
2.7 0.934861 0.0484203 0.0142091 0.00172791 0.000781211 0
2.8 0.928826 0.0533618 0.015177 0.00184112 0.000794475 0
2.9 0.921624 0.0593575 0.0162437 0.0019646 0.000810361 0
3 0.912961 0.0666783 0.0174303 0.00210052 0.000829477 0
3.1 0.902457 0.075676 0.0187632 0.00225163 0.000852604 0
3.2 0.889613 0.0868091 0.0202761 0.00242138 0.000880749 0
3.3 0.873784 0.100675 0.0220115 0.00261417 0.00091522 0
3.4 0.854133 0.118049 0.0240242 0.00283563 0.000957712 0
3.5 0.852114 0.117398 0.0263842 0.00309298 0.00101043 0
3.6 0.84993 0.116932 0.0287311 0.00335042 0.00105596 0
3.7 0.847565 0.116665 0.0310686 0.00360863 0.00109296 0
3.8 0.844999 0.116612 0.0334006 0.00386842 0.00111969 0
3.9 0.842211 0.116792 0.0357315 0.00413074 0.00113389 0
4 0.839177 0.117228 0.0380659 0.00439671 0.00113261 0
4.1 0.83587 0.117925 0.040409 0.00466343 0.00113232 0
4.2 0.832259 0.11891 0.0427661 0.00493146 0.00113307 0
4.3 0.828309 0.120212 0.0451428 0.0052014 0.00113496 0
4.4 0.823977 0.121866 0.0475455 0.00547393 0.00113806 0
4.5 0.819216 0.123911 0.0499813 0.0057498 0.00114249 0
4.6 0.813971 0.126393 0.0524579 0.00602984 0.00114837 0
4.7 0.808177 0.129368 0.0549842 0.00631497 0.00115585 0
4.8 0.80176 0.132898 0.0575699 0.00660624 0.00116513 0
4.9 0.794633 0.137059 0.0602262 0.00690481 0.0011764 0
5 0.786694 0.141939 0.0629656 0.00721202 0.00118993 0
