#params 2.368 0.2405 0.017 0.00525 errf3.85486
0 0.99475 0.00525 0 0
0.4 0.990002 0.00965594 0.00050505 3.57e-005
0.8 0.981146 0.017716 0.00143405 0.00010136
1.2 0.964878 0.0323555 0.00313862 0.00022183
1.6 0.9355 0.0585937 0.00625185 0.000441847
2 0.883767 0.104479 0.0118898 0.000840284
2.4 0.796484 0.181177 0.0219431 0.00155074
2.8 0.659958 0.299201 0.0393767 0.00278274
3.2 0.473056 0.455418 0.0681677 0.00481731
3.6 0.269088 0.612572 0.111992 0.00791415
4 0.113009 0.70561 0.170944 0.0120796
4.4 0.0375017 0.708462 0.238858 0.0168778
4.8 0.0123435 0.660656 0.30706 0.0216953
5.2 0.00462173 0.600333 0.370676 0.0261878
5.6 0.00199458 0.541126 0.428503 0.03027
6 0.000972646 0.486413 0.480645 0.0339497
6.4 0.000524713 0.43676 0.527534 0.0372573
6.8 0.000307745 0.391991 0.569656 0.0402273
7.2 0.000193542 0.35173 0.607479 0.0428928
7.6 0.000129101 0.315567 0.641437 0.0452846
8 9.05378e-005 0.283102 0.671923 0.0474304
8.4 6.62778e-005 0.253967 0.699292 0.0493555
8.8 5.03475e-005 0.227824 0.723863 0.0510825
9.2 3.94928e-005 0.204369 0.745924 0.0526317
9.6 3.18558e-005 0.183327 0.765734 0.0540214
10 2.63305e-005 0.164449 0.783523 0.055268
10.4 2.22343e-005 0.147515 0.7995 0.0563863
10.8 1.91321e-005 0.132324 0.813851 0.0573894
11.2 1.67379e-005 0.118697 0.826743 0.0582892
11.6 1.48594e-005 0.106473 0.838327 0.0590963
12 1.33638e-005 0.0955081 0.848738 0.0598204
12.4 1.21575e-005 0.085672 0.858095 0.0604698
12.8 1.11734e-005 0.0768488 0.866508 0.0610524
13.2 1.03623e-005 0.0689342 0.874075 0.061575
13.6 9.68776e-006 0.0618346 0.880881 0.0620437
14 9.12229e-006 0.0554662 0.887005 0.0624642
14.4 8.64485e-006 0.0497537 0.892519 0.0628414
14.8 8.23918e-006 0.0446295 0.897484 0.0631797
15.2 7.89253e-006 0.040033 0.901956 0.0634832
15.6 7.59483e-006 0.0359099 0.905988 0.0637554
16 7.33802e-006 0.0322114 0.909624 0.0639996
16.4 7.1156e-006 0.0288939 0.912904 0.0642186
16.8 6.92228e-006 0.025918 0.915867 0.0644151
17.2 6.75373e-006 0.0232486 0.918543 0.0645913
17.6 6.60635e-006 0.0208541 0.920963 0.0647494
18 6.47718e-006 0.0187063 0.923154 0.0648912
18.4 6.36371e-006 0.0167797 0.925138 0.0650184
18.8 6.26384e-006 0.0150515 0.926937 0.0651325
19.2 6.17579e-006 0.0135013 0.92857 0.0652349
19.6 6.09804e-006 0.0121107 0.930055 0.0653267
20 6.02931e-006 0.0108634 0.931406 0.0654091
20.4 5.96848e-006 0.0097445 0.932637 0.0654829
20.8 5.91458e-006 0.00874088 0.933761 0.0655492
21.2 5.8668e-006 0.00784061 0.934789 0.0656086
21.6 5.8244e-006 0.00703307 0.93573 0.0656619
22 5.78676e-006 0.00630871 0.936594 0.0657098
22.4 5.75334e-006 0.00565894 0.937388 0.0657527
